date,open,high,low,close,adjusted_close,volume
2019-12-10,201.66,202.05,200.15,200.87,199.7866389783,9485568.0
2019-12-11,200.28,202.63,200.28,202.26,201.1691422301,8041827.0
2019-12-12,202.35,203.66,194.1,196.75,195.6888595558,2.3766986E7
2019-12-13,196.4,196.8,193.17,194.11,193.0630979842,1.880602E7
2019-12-16,195.27,199.12,194.81,197.92,196.8525493433,1.4922733E7
2019-12-17,198.84,199.0,196.13,198.39,197.3200144716,1.0177605E7
2019-12-18,200.09,204.3,200.09,202.5,201.4078478275,2.3284746E7
2019-12-19,202.78,206.3,202.51,206.06,204.9486475226,1.6808184E7
2019-12-20,207.48,207.71,203.43,206.3,205.18735312,2.7315226E7
2019-12-23,206.7,208.59,205.68,206.18,205.0680003213,1.3353194E7
2019-12-24,206.3,206.79,205.0,205.12,204.013717266,6046273.0
2019-12-26,205.57,207.82,205.31,207.79,206.6693170374,9368273.0
2019-12-27,208.67,208.93,206.59,208.1,206.9776451007,1.0287634E7
2019-12-30,207.86,207.9,203.9,204.41,203.3075465403,1.0534441E7
2019-12-31,204.0,205.56,203.6,205.25,204.1430161313,8962756.0
2020-01-02,206.75,209.79,206.27,209.78,208.6485842827,1.2090707E7
2020-01-03,207.21,210.4,206.95,208.67,207.5445708946,1.1197416E7
2020-01-06,206.7,212.78,206.52,212.6,211.4533750525,1.7073861E7
2020-01-07,212.82,214.58,211.75,213.06,211.9108941142,1.5111857E7
2020-01-08,213.0,216.24,212.61,215.22,214.059244491,1.3492703E7
2020-01-09,217.54,218.38,216.28,218.3,217.1226329913,1.2679579E7
2020-01-10,219.2,219.88,217.42,218.06,216.8839273939,1.2127432E7
2020-01-13,219.6,221.97,219.21,221.91,220.7131630192,1.4295658E7
2020-01-14,221.61,222.38,218.63,219.06,217.8785340498,1.3315361E7
2020-01-15,220.61,221.68,220.14,221.15,219.9572619607,1.0036475E7
2020-01-16,222.57,222.63,220.39,221.77,220.5739180874,1.0015288E7
2020-01-17,222.03,222.29,220.53,222.14,220.9419225501,1.5905944E7
2020-01-21,222.16,222.37,219.12,221.44,220.2456978909,1.4162007E7
2020-01-22,222.31,222.75,221.28,221.32,220.1263450922,1.2212814E7
2020-01-23,220.75,221.49,219.27,219.76,218.574758709,1.1195E7
2020-01-24,220.8,221.78,216.11,217.94,216.7645745952,1.1905824E7
2020-01-27,213.1,216.06,212.5,214.87,213.7111321614,1.3810655E7
2020-01-28,216.14,218.74,213.52,217.79,216.6153835968,1.3413835E7
2020-01-29,221.44,224.2,218.45,223.23,222.0260438051,3.3610005E7
2020-01-30,206.53,211.43,204.75,209.53,208.3999326187,4.87755E7
2020-01-31,208.43,208.69,201.06,201.91,200.8210299005,3.1359917E7
2020-02-03,203.44,205.14,202.5,204.19,203.088733076,1.5510509E7
2020-02-04,206.62,210.6,205.2,209.83,208.6983146155,1.962889E7
2020-02-05,212.51,212.73,208.71,210.11,208.9768044792,1.2538154E7
2020-02-06,210.47,211.19,209.34,210.85,209.7128134046,1.0567533E7
2020-02-07,210.3,212.82,209.93,212.33,211.1848312554,1.224253E7
2020-02-10,211.52,213.8,210.66,213.06,211.9108941142,1.185635E7
2020-02-11,210.19,210.86,206.51,207.19,206.0725530438,2.503081E7
2020-02-12,207.85,211.22,207.4,210.76,209.6232988055,1.3813704E7
2020-02-13,209.52,214.33,209.18,213.14,211.9904626467,1.5396625E7
2020-02-14,214.0,214.93,212.65,214.18,213.0248535688,1.0741747E7
2020-02-18,213.55,217.98,213.4,217.8,216.6253296633,1.5630026E7
2020-02-19,217.99,218.32,216.11,217.49,216.3170016,1.2135114E7
2020-02-20,216.52,218.77,212.95,214.58,213.4226962312,1.3109213E7
2020-02-21,213.48,214.24,208.83,210.18,209.0464269451,1.4098432E7
2020-02-24,201.8,203.65,198.17,200.72,199.6374479799,2.3080057E7
2020-02-25,202.25,203.5,195.95,196.77,195.708751689,2.1433487E7
2020-02-26,197.19,201.21,195.49,197.2,196.136432551,1.655521E7
2020-02-27,191.82,195.88,189.5,189.75,188.7266129643,2.1682626E7
2020-02-28,182.7,192.74,181.82,192.47,191.4319430684,3.2583494E7
2020-03-02,194.03,196.57,188.85,196.44,195.3805314925,2.4948955E7
2020-03-03,196.22,197.24,183.97,185.89,184.8874312723,2.7984104E7
2020-03-04,189.17,191.83,186.39,191.76,190.7257723427,2.3062473E7
2020-03-05,186.78,188.99,183.89,185.17,184.1713144801,1.9333425E7
2020-03-06,178.33,183.78,176.26,181.09,180.1133193238,2.455955E7
2020-03-09,169.6,175.0,165.19,169.5,168.5858281815,2.9949041E7
